MSFT,SPY
21.24119758605957,79.53048706054688
21.935087203979492,80.43229675292969
21.830535888671875,80.96926879882812
21.722806930541992,80.39789581298828
21.98261833190918,80.21197509765625
21.770334243774414,79.55805206298828
21.950931549072266,79.90908813476562
21.7386474609375,79.12435150146484
21.694293975830078,78.62869262695312
22.036481857299805,79.26891326904297
21.50418472290039,77.66495513916016
22.134702682495117,78.25009155273438
20.943363189697266,77.89212799072266
20.423742294311523,77.35517120361328
20.195621490478516,77.94717407226562
20.468109130859375,78.18810272216797
20.21463394165039,78.16746520996094
20.220964431762695,78.38087463378906
19.745698928833008,75.9164047241211
19.913623809814453,77.010986328125
20.186113357543945,77.91275787353516
19.853424072265625,77.54792022705078
19.365489959716797,75.62042999267578
19.3749942779541,75.15229034423828
19.137359619140625,74.8287582397461
18.94725227355957,74.36064910888672
19.216575622558594,75.7856216430664
19.368654251098633,76.7149658203125
19.054983139038086,76.4739990234375
19.5872802734375,77.28630828857422
19.542924880981445,77.14176177978516
19.083494186401367,76.33634948730469
18.67160415649414,74.87006378173828
18.978939056396484,76.12982940673828
18.392778396606445,74.5533676147461
18.373767852783203,75.47583770751953
18.71912956237793,76.72183990478516
18.55120277404785,76.56352233886719
18.500505447387695,76.85952758789062
18.484661102294922,76.51530456542969
19.444698333740234,78.29824829101562
20.056209564208984,79.68196105957031
19.986499786376953,79.42723846435547
20.160764694213867,80.37034606933594
19.872438430786133,80.19820404052734
20.262157440185547,80.5355453491211
20.385726928710938,80.70765686035156
19.815399169921875,80.65946960449219
19.675992965698242,79.8815689086914
19.397171020507812,79.77142333984375
19.799562454223633,80.53154754638672
19.688663482666016,80.54531860351562
19.717185974121094,81.08383178710938
19.042306900024414,79.55810546875
19.441526412963867,79.5926513671875
19.153194427490234,79.42002868652344
18.76664924621582,78.43282318115234
18.71912956237793,78.88843536376953
18.833189010620117,79.09552764892578
19.108842849731445,79.06106567382812
19.131025314331055,79.09552764892578
18.148801803588867,78.66063690185547
17.84780502319336,78.10833740234375
17.885826110839844,77.78386688232422
17.702056884765625,77.79768371582031
18.129796981811523,77.96336364746094
17.385217666625977,77.41800689697266
17.838298797607422,78.29475402832031
17.3598690032959,76.34790802001953
17.721073150634766,76.92086791992188
17.645023345947266,76.3341293334961
18.316730499267578,78.14974975585938
17.94286346435547,77.98408508300781
17.86048126220703,77.64580535888672
18.123458862304688,77.92887115478516
17.61334228515625,76.63094329833984
17.106395721435547,76.29954528808594
16.799053192138672,75.53327178955078
17.02401351928711,75.57467651367188
16.31744956970215,74.1386947631836
16.551918029785156,73.77281951904297
16.558256149291992,74.46324157714844
16.7135066986084,75.37445831298828
16.225570678710938,75.08455657958984
15.702774047851562,74.26985931396484
15.404942512512207,72.81320190429688
15.674256324768066,72.5577621459961
17.416900634765625,75.2571029663086
16.513893127441406,74.38726806640625
15.858028411865234,72.98583221435547
16.694496154785156,74.47010040283203
17.38838005065918,76.09246826171875
17.34719467163086,75.79559326171875
17.660877227783203,76.18913269042969
17.752750396728516,76.56192016601562
17.11272621154785,75.73345947265625
16.53607177734375,75.04308319091797
17.011333465576172,75.20880889892578
17.36937713623047,76.00962829589844
16.875097274780273,75.03620147705078
16.577260971069336,74.62889099121094
16.491710662841797,74.07660675048828
16.678653717041016,73.86949157714844
16.13050651550293,74.0213394165039
15.658418655395508,72.05381774902344
15.83584976196289,72.23328399658203
16.368148803710938,72.90986633300781
16.444190979003906,71.4255599975586
16.46953773498535,71.34271240234375
16.73568344116211,71.61888122558594
16.65646743774414,70.3900146484375
17.597496032714844,70.81805419921875
17.179271697998047,70.10693359375
17.505611419677734,70.00341033935547
17.641860961914062,71.88123321533203
17.74007797241211,72.4680404663086
17.223628997802734,70.776611328125
17.141246795654297,69.87223815917969
16.564584732055664,68.77974700927734
17.160255432128906,69.13993835449219
16.77687644958496,67.588134765625
17.15074920654297,67.69895935058594
17.401052474975586,68.88365936279297
17.331348419189453,68.55802154541016
16.68498420715332,67.2209243774414
16.298431396484375,65.79383087158203
16.425180435180664,66.16792297363281
17.378877639770508,68.80052185058594
16.767362594604492,67.94146728515625
16.8592529296875,66.23023986816406
16.551918029785156,63.819358825683594
16.76420021057129,64.33895874023438
